headline,group_name,group_description,importance_score
Delhi government organises event to mark Bhagat Singh's birth anniversary,RegionalNews,State-wise and city-wise local news,4.5
Govt to form paddy purchase centres,RegionalNews,State-wise and city-wise local news,4.5
Car falls in canal; man pulls out woman; child with his turban,RegionalNews,State-wise and city-wise local news,4.5
BJP; BSP supporting each other secretly: Amar Singh,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Tharoor exudes hope IPL Kochi will be a reality,Sports,"Cricket, football, Olympics, tournaments",4.5
Except Left; major parties silent on land reforms,RegionalNews,State-wise and city-wise local news,4.5
Bus swerves off NH 47; none hurt,WorldNews,Major international events and developments,7.0
SC orders joint inspection to verify Goa's claim of Mhadei diversion,RegionalNews,State-wise and city-wise local news,4.5
Independence Day 2018: Books about India's freedom struggle we should all read,RegionalNews,State-wise and city-wise local news,4.5
Cantonment bus depot to be modernized under PPP model,WorldNews,Major international events and developments,7.0
A PDP-BJP govt is historic opportunity for India: Mufti Mohammad Sayeed,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Book to big screen to personal copy!,RegionalNews,State-wise and city-wise local news,4.5
Pimpri Chinchwad: Wakad housing societies lead green immersion bid,RealEstate,"Housing, property market, construction",4.5
J&K police had prior information,Crime,"Criminal cases, investigations, arrests",4.5
German girl who complained of rape to undergo examination,Crime,"Criminal cases, investigations, arrests",6.5
3 kids drown in pond in a Kutch village,RegionalNews,State-wise and city-wise local news,4.5
many political leaders facing serious charges i am not the only one gopal kanda,Politics,"Elections, political parties, ministers, governance, parliament",7.0
metro services to run from 5 30am from today,Infrastructure,"Roads, railways, airports, smart cities",4.5
Bail rejected for Pathak murder accused,Crime,"Criminal cases, investigations, arrests",6.5
Gautham Karthik kickstarts his third,RegionalNews,State-wise and city-wise local news,4.5
The college matters; not the course,Education,"Schools, colleges, exams, admissions, policies",4.5
Maharashtra loses data of 3 lakh UID cards,RegionalNews,State-wise and city-wise local news,4.5
Myanmar to release political prisoners soon,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Sports complex of AM College to be ready soon,Education,"Schools, colleges, exams, admissions, policies",4.5
Rules not followed in expelling Muddasir Yousaf from AMU; say students; Threaten legal recourse,LawJustice,"Courts, legal judgments, litigation",6.3
Preventive steps taken to contain malaria during monsoon,RegionalNews,State-wise and city-wise local news,4.5
Glitter and glam at this launch!,RegionalNews,State-wise and city-wise local news,4.5
Cops make third arrest in senior citizen's attack,Crime,"Criminal cases, investigations, arrests",4.5
PM won't testify before panel: Centre,RegionalNews,State-wise and city-wise local news,4.5
No further hike in bus fares; power tariff,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
J&K minister to be dropped for seeking state's division,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Cricket association says no to corporation's 25% tax waiver,Sports,"Cricket, football, Olympics, tournaments",4.5
Viswanathan Anand closes in to title victory in Bilbao Masters,RegionalNews,State-wise and city-wise local news,4.5
Fall in share prices reflect happenings in world market,StockMarket,"NSE, BSE, shares, trading, investments",6.0
MUHS move to postpone exams upsets students,RegionalNews,State-wise and city-wise local news,4.5
No buffalo meat in Mumbai from today as transport banned over skin disease fear,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
I'm not effeminate',RegionalNews,State-wise and city-wise local news,4.5
Madhuri Mama Mia!,RegionalNews,State-wise and city-wise local news,4.5
Obama; China's Xi discuss cyber security; North Korea,Cybersecurity,"Hacking, cybercrime, data breaches, security",4.5
Fatal fall: Engineering student succumbs to injuries,Education,"Schools, colleges, exams, admissions, policies",4.5
Trump; Russia and China media attacks 'threaten democracy',WorldNews,Major international events and developments,7.0
Coronavirus scare: Don't visit Tirupati temple; TTD tells foreigners & NRIs,WorldNews,Major international events and developments,7.0
Dating anxiety: Why singles don't want to mingle?,RegionalNews,State-wise and city-wise local news,4.5
Rains submerge Sukhatal project; breakwalls; other structures; too; hit,RegionalNews,State-wise and city-wise local news,4.5
SC to hear Raja Bhaiya's Pota case on Friday,RegionalNews,State-wise and city-wise local news,4.5
Cops crack Paikpara murder; arrest one,Crime,"Criminal cases, investigations, arrests",6.5
Kakatiya University educators rebel; resign from administrative posts en masse,Education,"Schools, colleges, exams, admissions, policies",4.5
Himalayan trek for students,RegionalNews,State-wise and city-wise local news,4.5
Two held in contractor murder case,Crime,"Criminal cases, investigations, arrests",6.5
Pranitaa Pandit: Struggle in the industry never ends,BusinessCorporate,"Companies, mergers, acquisitions, corporate news",6.0
World Heart Day: Focus on women at risk,WorldNews,Major international events and developments,7.0
Mumbai: Shiv Sena starts protest against Tenancy Act,RegionalNews,State-wise and city-wise local news,4.5
Avoid taking your laptop with sensitive info to China: Experts,WorldNews,Major international events and developments,7.0
Donald Trump says he understands India's desire for strong response to Pulwama attack,RegionalNews,State-wise and city-wise local news,4.8
Rahul went to cops on his own: Mahesh Bhatt,RegionalNews,State-wise and city-wise local news,4.5
Energy companies like RIL; Cairn India want government to retain incentives for oil and gas contracts,BusinessCorporate,"Companies, mergers, acquisitions, corporate news",6.3
No consensus yet on revised Sports Code,WorldNews,Major international events and developments,7.0
LEGALLY SPEAKING - Meira achieves what her illustrious dad couldn't,WorldNews,Major international events and developments,7.0
New tray management system to reduce flyers' queues in Kolkata airport,Infrastructure,"Roads, railways, airports, smart cities",4.5
To be taken serious suitors; bachelors seek quota in govt jobs,EmploymentCareers,"Jobs, recruitment, placements, workforce trends",4.5
Protestors; police add to commuter's woes; traffic comes to standstill,Crime,"Criminal cases, investigations, arrests",4.5
Andhra Pradesh high court cancels APGECL's solar power plant tenders,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Nirav Kalal Nirav to play a villain again in his next movie,Entertainment,"Movies, TV, OTT, celebrities",4.5
Govt plans rural telephony promotion,RegionalNews,State-wise and city-wise local news,4.5
CEE to lead Environmental Service Scheme at schools,GovernmentPolicy,"Government schemes, regulations, policy announcements",4.5
Power system made more reliable: BSES,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Espionage probe focus now on energy consultant Lokesh Sharma,WorldNews,Major international events and developments,7.0
US visa fee hike to cost Indian cos $200 mn,WorldNews,Major international events and developments,7.0
Time to look beyond lockdown; resume business: Industry to Tamil Nadu government,BusinessCorporate,"Companies, mergers, acquisitions, corporate news",6.0
AD and Sabina Singh host the coming home of SodaBottleOpenerWala in Mumbai,RegionalNews,State-wise and city-wise local news,4.5
HC raps Traffic' Ramasamy for wasting court's times,LawJustice,"Courts, legal judgments, litigation",6.0
Why not try Goa's unsung fried fish safari?,RegionalNews,State-wise and city-wise local news,4.5
2 PMCH buildings demolished to pave way for expansion,RegionalNews,State-wise and city-wise local news,4.5
Cap on immigration of Indians will deprive UK of talent: Nobel laureates,WorldNews,Major international events and developments,7.0
Probe into Amarinder son's foreign assets was launched under UPA,RegionalNews,State-wise and city-wise local news,4.5
Gaurav Kapur ain't no angel,RegionalNews,State-wise and city-wise local news,4.5
use app to locate auto tippers in patna,RegionalNews,State-wise and city-wise local news,4.5
With B S Yediyurappa on board; BJP confident of smooth transition in Karnataka,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Catching up with friends,RegionalNews,State-wise and city-wise local news,4.5
Try tainted armymen in criminal court: HC,LawJustice,"Courts, legal judgments, litigation",6.0
Important that BJP loses in Bihar: Kejriwal,Politics,"Elections, political parties, ministers, governance, parliament",7.0
One dead in Bandra lock-up,RegionalNews,State-wise and city-wise local news,4.5
Chhattisgarh Ex-CM getting influenced by Bhupesh Baghel: Congress's jibe at Raman Singh's Bilaspur visit,Politics,"Elections, political parties, ministers, governance, parliament",7.3
Crime in Haryana more than Bihar: Dushyant,Crime,"Criminal cases, investigations, arrests",4.5
Question my performance; not desire: Clarke,RegionalNews,State-wise and city-wise local news,4.5
The good fight,RegionalNews,State-wise and city-wise local news,4.5
Ferozepur Road to get decongested,Infrastructure,"Roads, railways, airports, smart cities",4.5
Football: Video referees to make 'history' at Club World Cup,Sports,"Cricket, football, Olympics, tournaments",4.5
Quick route to justice: 193 fast track courts,RegionalNews,State-wise and city-wise local news,4.5
BJP will unseat Nitish over Srijan scam; says RJD boss,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Two Indians killed in Afghan terror attack,Crime,"Criminal cases, investigations, arrests",6.5
Rs 5L ornaments burgled from store on CG Road,Infrastructure,"Roads, railways, airports, smart cities",4.5
Indian-origin Malaysian leader dies in accident,RegionalNews,State-wise and city-wise local news,4.5
Three days after attack on Sena MLA; four men arrested,Politics,"Elections, political parties, ministers, governance, parliament",7.0
China team studies waste management,WorldNews,Major international events and developments,7.0
CAA violence: Police use cellphone tower data to trace miscreants,Crime,"Criminal cases, investigations, arrests",4.5
BJP wants action against chief secy,Politics,"Elections, political parties, ministers, governance, parliament",7.0
How many wires above the road,Infrastructure,"Roads, railways, airports, smart cities",4.5
Lawyer murder: all accused held; 4 policemen suspended,Crime,"Criminal cases, investigations, arrests",6.5
NIT cancels land lease of collapsed cold storage at Chikhli,RegionalNews,State-wise and city-wise local news,4.5
Garbage dump outside GMC creates health hazard for patients,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
Shiv Sena MLA hurt in accident to be discharged in 2 days,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Woman cop dies after tree falls on her on secretariat campus,RegionalNews,State-wise and city-wise local news,4.5
Parents more nervous on first day at DU; come to see off kids,WorldNews,Major international events and developments,7.0
Extensive plan to support Ramdev,RegionalNews,State-wise and city-wise local news,4.5
SC confirms IIT admission for teen whose 'online error' cost him seat,Education,"Schools, colleges, exams, admissions, policies",4.5
It's mini general election; win all 20 seats; EPS urges cadres,Politics,"Elections, political parties, ministers, governance, parliament",9.0
Fisheries university mooted in state,Education,"Schools, colleges, exams, admissions, policies",4.5
Minor stampede at Tirupati,RegionalNews,State-wise and city-wise local news,4.5
Ahmedabad: Hospitals to go on strike today,RegionalNews,State-wise and city-wise local news,4.5
Hyd police honour maimed cop,Crime,"Criminal cases, investigations, arrests",4.5
Garlic no longer reeks inflation,Economy,"GDP, inflation, economic indicators, fiscal updates",7.0
Sebi's 70-acre training campus near Mumbai to be ready by Dec,WorldNews,Major international events and developments,7.0
Businessman's death: Family alleges murder,Crime,"Criminal cases, investigations, arrests",6.5
Kings XI Punjab favorites to win IPL title: Yuvraj,Sports,"Cricket, football, Olympics, tournaments",4.5
MCD to start work in two illegal colonies,RegionalNews,State-wise and city-wise local news,4.5
4 cm rain in Dakshina Kannada,RegionalNews,State-wise and city-wise local news,4.5
Shooting with Sumbul Touqeer in Imlie is by far one of my best experiences: Vikram Wadhwa,RegionalNews,State-wise and city-wise local news,4.8
Aspirant alleges tampering of Neet OMR sheet,Education,"Schools, colleges, exams, admissions, policies",4.5
Army; Coast Guard called in for World Cup match security in Chennai,Sports,"Cricket, football, Olympics, tournaments",4.5
Intermediate examination 'peaceful' on Day 1,RegionalNews,State-wise and city-wise local news,4.5
Stress taking toll on Madonna's health,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
Depression to intensify into cyclone today,RegionalNews,State-wise and city-wise local news,4.5
Kovalam to host startup conclave next month,Startups,"Startup ecosystem, funding, entrepreneurship",4.5
Three killed in Mahad mishap,Crime,"Criminal cases, investigations, arrests",6.5
Horoscope Today; June 7; 2019: Check astrological prediction for Leo; Virgo; Libra; Scorpio and other signs,RegionalNews,State-wise and city-wise local news,4.8
Pictures of only PM; CM & party chiefs on posters; says BJP,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Corporate espionage: Judicial custody of 6 accused extended,BusinessCorporate,"Companies, mergers, acquisitions, corporate news",6.0
Aparna to wed Bharani,RegionalNews,State-wise and city-wise local news,4.5
Clean Ganga mission gets leg-up in Bengal,RegionalNews,State-wise and city-wise local news,4.5
DHFL case: Interim bail for Yes Bank founder's wife & daughter,BankingFinance,"Banks, loans, RBI, fintech, financial services",6.0
Fun-filled farewell party for students of International Institute of Professional Studies in Indore,RegionalNews,State-wise and city-wise local news,4.8
Metro station gets dedicated police post,Infrastructure,"Roads, railways, airports, smart cities",4.5
West Bengal civic polls: Counting begins amidst tight security,RegionalNews,State-wise and city-wise local news,4.5
Cop's heart stops beating for minutes; saved,RegionalNews,State-wise and city-wise local news,4.5
Pema Khandu orders inquiry into student's death,Education,"Schools, colleges, exams, admissions, policies",6.5
Student bodies' aim: Help freshers; garner support,Education,"Schools, colleges, exams, admissions, policies",4.5
Servicing the old is a young industry,BusinessCorporate,"Companies, mergers, acquisitions, corporate news",6.0
driving into the era of industry 4 0 with iot,BusinessCorporate,"Companies, mergers, acquisitions, corporate news",6.0
6 injured as private bus overturns in Ghaziabad,WorldNews,Major international events and developments,7.0
Kolkata; districts on alert for cyclone Jawad,RegionalNews,State-wise and city-wise local news,4.5
State-run oil companies to gain more from new gas price,BusinessCorporate,"Companies, mergers, acquisitions, corporate news",6.0
In 3 weeks; positivity rate down by a half in Delhi,RegionalNews,State-wise and city-wise local news,4.5
Data from TMC MLA's phones shows involvement: CBI to court,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Presidency University offers peanuts to guest lecturers,Education,"Schools, colleges, exams, admissions, policies",4.5
National Commission for Schedule Caste issues fresh warrant against Banaras Hindu University VC,Education,"Schools, colleges, exams, admissions, policies",4.8
Budget long in words and short on numbers: SJM,Economy,"GDP, inflation, economic indicators, fiscal updates",9.0
3 arrested in housing scam,RealEstate,"Housing, property market, construction",4.5
Waiting for salary; teacher dies,RegionalNews,State-wise and city-wise local news,4.5
blow to learning as teachers forced to do election work ahead of karnataka assembly elections,Politics,"Elections, political parties, ministers, governance, parliament",9.3
Crude bombs; gelatine sticks recovered in A'bad,RegionalNews,State-wise and city-wise local news,4.5
Sensex falls 272 points as Japan nuke leak fears spook investors,StockMarket,"NSE, BSE, shares, trading, investments",6.0
Sathish Ninasam gears up for an action film,Entertainment,"Movies, TV, OTT, celebrities",4.5
Covaxin picks up pace in Telangana after initial fears,RegionalNews,State-wise and city-wise local news,4.5
Pune: Journey ticket pass to travel in night curfew hours; say police,Crime,"Criminal cases, investigations, arrests",4.5
Man who inflicted burns on five-year-old son arrested,RegionalNews,State-wise and city-wise local news,4.5
Police flayed for Santan's death,Crime,"Criminal cases, investigations, arrests",6.5
Rauf Lala: Our comedy show has been received well both in India and Pakistan,WorldNews,Major international events and developments,7.0
New effluent treatment plant revives hopes on block printing,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
5.7 crore Indians dependent on alcohol; need treatment: Govt survey,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
Malayalam film industry complains 'raw deal' in IFFI panorama,Entertainment,"Movies, TV, OTT, celebrities",4.5
Impoverished heart patient seeks euthanasia,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
Warned Jamaat on prohibitory orders: Delhi Police,Crime,"Criminal cases, investigations, arrests",4.5
IT cos back in the hiring zone,EmploymentCareers,"Jobs, recruitment, placements, workforce trends",4.5
DU's foreign students will be part of Rajpath event,RegionalNews,State-wise and city-wise local news,4.5
Churchill Brothers hope to stem the rot,RegionalNews,State-wise and city-wise local news,4.5
Karnataka CM Basavaraj Bommai unveils regional forensic laboratory in Hubballi,RegionalNews,State-wise and city-wise local news,4.5
Football: Rudy stunner helps Germany ease into World Cup finals,Sports,"Cricket, football, Olympics, tournaments",4.5
Poll campaigning ends in classrooms,RegionalNews,State-wise and city-wise local news,4.5
Govt to spend $2.4m over 5 years on Indian kids in Carnegie Mellon,RegionalNews,State-wise and city-wise local news,4.5
11 city students for maths Olympiad,RegionalNews,State-wise and city-wise local news,4.5
Farmers fast for raising Mullaperiyar water level,RegionalNews,State-wise and city-wise local news,4.5
Steep hike in property tax upsets Secunderabad Cantonment residents,RealEstate,"Housing, property market, construction",4.5
India celebrates Gandhi Jayanti: 10 inspiring quotes by Mahatma,RegionalNews,State-wise and city-wise local news,4.5
China launches its own GPS,WorldNews,Major international events and developments,7.0
UK watchdog raps Indian restaurant for misleading ad,WorldNews,Major international events and developments,7.0
Porngate: Weak cyber act may not find Karnataka ministers guilty,Cybersecurity,"Hacking, cybercrime, data breaches, security",4.5
Yechury: BJP main enemy but no alliance with TMC,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Students should generate ideas; work on them: Ratan Tata,RegionalNews,State-wise and city-wise local news,4.5
Experts get to the heart of organ donation,RegionalNews,State-wise and city-wise local news,4.5
I am a very sensitive girl; it does not take much for me to tear up: PV Sindhu,RegionalNews,State-wise and city-wise local news,4.5
Football: Youthful France capable of beating anyone - Varane,Sports,"Cricket, football, Olympics, tournaments",4.5
We waited for 3 years to hear her speak after 3 surgeries,RegionalNews,State-wise and city-wise local news,4.5
Dogs' tale: How MCD is looking yo rein in strays,RegionalNews,State-wise and city-wise local news,4.5
Board reintroduces sports quota scheme,GovernmentPolicy,"Government schemes, regulations, policy announcements",4.5
Akalis; Congress trade punches during anti-drug protests in Attari,Politics,"Elections, political parties, ministers, governance, parliament",7.0
No proposal to introduce VRS for KSRTC staff; says minister Antony Raju,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Sensex slips below 27;000; down 207 points,StockMarket,"NSE, BSE, shares, trading, investments",6.0
Vacate offices; GAD tells former ministers,RegionalNews,State-wise and city-wise local news,4.5
CEC reacts to Mulayam's statement,RegionalNews,State-wise and city-wise local news,4.5
Two bogies of Howrah-Doon Express catch fire,RegionalNews,State-wise and city-wise local news,4.5
Election hampers studies as teachers go on poll duty,Politics,"Elections, political parties, ministers, governance, parliament",9.0
Shakti actress Rubina Dilaik is chilling in Bali,Entertainment,"Movies, TV, OTT, celebrities",4.5
Court relaxes norms set by GO for Ganesh Chaturthi festivities,LawJustice,"Courts, legal judgments, litigation",6.0
ICC World Cup 2019: As their teams fight it out; Pakistan and Afghanistan fans come to blows,WorldNews,Major international events and developments,7.3
CII bid to avoid power cut,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Unvaccinated people to be barred from public places,RegionalNews,State-wise and city-wise local news,4.5
BJP youth wing leader; four others accused of raping teenager,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Online route to become entrepreneur,Startups,"Startup ecosystem, funding, entrepreneurship",4.5
Collapsing manhole at Kandivali E Akurli Road,Infrastructure,"Roads, railways, airports, smart cities",4.5
IBPS PO Mains Admit Card 2022 to be released soon at ibps.in; check details,RegionalNews,State-wise and city-wise local news,4.5
State check posts will go under GST; excise point may stay,RegionalNews,State-wise and city-wise local news,4.5
Devotees sink 'save environment' pleas,EnvironmentClimate,"Climate change, pollution, conservation",4.5
SCs; STs don't get their share of the pie,StockMarket,"NSE, BSE, shares, trading, investments",6.0
One killed; 10 injured at marriage function,Crime,"Criminal cases, investigations, arrests",6.5
Not just about water,RegionalNews,State-wise and city-wise local news,4.5
Why can't the university plug its leaks?,Education,"Schools, colleges, exams, admissions, policies",4.5
Top priority for TN waterways upgrade,RegionalNews,State-wise and city-wise local news,4.5
Aurobindo to buy Sandoz US units,WorldNews,Major international events and developments,7.0
Rs 1 cr; 7 victims: Swindle that failed,RegionalNews,State-wise and city-wise local news,4.5
Haryana: Infant dies hours after immunization; 2 health officials booked,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
Int'l edu picks up; UK undergrad courses see 22% more Indians,WorldNews,Major international events and developments,7.0
21 feared killed in dust storms in state,Crime,"Criminal cases, investigations, arrests",6.5
Man killed in celebratory firing,Crime,"Criminal cases, investigations, arrests",6.5
Do not underestimate household work done by homemaker: HC,RegionalNews,State-wise and city-wise local news,4.5
Cong; CPM attack Mamata on port row,RegionalNews,State-wise and city-wise local news,4.5
LACs of tiger reserves exist only on paper,RegionalNews,State-wise and city-wise local news,4.5
Students' groups protest fee hike,RegionalNews,State-wise and city-wise local news,4.5
Rapid Metro phase-II worth Rs 2;143 crore to begin in April,Infrastructure,"Roads, railways, airports, smart cities",4.5
Unemployed son kills inebriated father after verbal spat in Budaun,Crime,"Criminal cases, investigations, arrests",4.5
Relief for minister Arya; HC quashes Bhind court's order,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Bhagini Mandal to build badminton hall in Nagpur,RegionalNews,State-wise and city-wise local news,4.5
Angry voters don't complain,RegionalNews,State-wise and city-wise local news,4.5
Ajmer's JLN hospital will add more Covid wards,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
Rs 5k relief for Rupee Bank depositors,BankingFinance,"Banks, loans, RBI, fintech, financial services",6.0
Govt probing if agents duped students,RegionalNews,State-wise and city-wise local news,4.5
Gujarat: Class IX; XI exams between April 1 and 11,RegionalNews,State-wise and city-wise local news,4.5
Assam perfume baron who gives Congress sleepless nights,Politics,"Elections, political parties, ministers, governance, parliament",7.0
SEZs failed to take off in state,RegionalNews,State-wise and city-wise local news,4.5
Trichy: Man murders woman; kills self by jumping before train,Crime,"Criminal cases, investigations, arrests",6.5
Mahindra to boost Scorpio production to ease backlog,RegionalNews,State-wise and city-wise local news,4.5
Panjab University mess meal costlier by Rs 6,Education,"Schools, colleges, exams, admissions, policies",4.5
Beggars busy hiring lawyers for return to 'workplace' of years,EmploymentCareers,"Jobs, recruitment, placements, workforce trends",4.5
BMC legal notice to CAG: Can't audit any Covid-time spending,LawJustice,"Courts, legal judgments, litigation",6.0
Indrani has the upper hand in most joint property holdings,RealEstate,"Housing, property market, construction",4.5
OMG! Man finds his own wife in porn!,RegionalNews,State-wise and city-wise local news,4.5
Panel seeks prey data for Umred-Karhandla Wildlife Sanctuary,EnvironmentClimate,"Climate change, pollution, conservation",4.5
Govt studying SIT report: CM,RegionalNews,State-wise and city-wise local news,4.5
Haldwani jail inmates told to come forward for HIV test,RegionalNews,State-wise and city-wise local news,4.5
Kolkata Metropolitan Development Authority to start fencing Maa flyover flanks,RegionalNews,State-wise and city-wise local news,4.5
Cyber crime on the rise,Cybersecurity,"Hacking, cybercrime, data breaches, security",4.5
US to partially lift 40-year-old ban on arms sale to Vietnam,WorldNews,Major international events and developments,7.0
Ehsan Mani's appointment could lead to fresh BCCI-ICC tax battle,Sports,"Cricket, football, Olympics, tournaments",4.5
What if Lennon wasn't killed?,Crime,"Criminal cases, investigations, arrests",6.5
PAU students resent jobs to 'outsiders',EmploymentCareers,"Jobs, recruitment, placements, workforce trends",4.5
Byculla school in failure row submits papers,Education,"Schools, colleges, exams, admissions, policies",4.5
Parx Super Car Show will take place on Sunday,RegionalNews,State-wise and city-wise local news,4.5
A different dynast,RegionalNews,State-wise and city-wise local news,4.5
Couple held for murder,Crime,"Criminal cases, investigations, arrests",6.5
Chokers make a stylish comeback,RegionalNews,State-wise and city-wise local news,4.5
Schools too vie for honours,RegionalNews,State-wise and city-wise local news,4.5
US holds breath for Obama vs McCain debate,WorldNews,Major international events and developments,7.0
Euro gains on dollar for second day,RegionalNews,State-wise and city-wise local news,4.5
When the mantri met the mystic,RegionalNews,State-wise and city-wise local news,4.5
Bomb explodes outside MP's residence,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Govt will install CCTVs to monitor Indira Rasoi: Minister,Politics,"Elections, political parties, ministers, governance, parliament",7.0
Relation with sister-in-law second only to mother-in-law: High court,LawJustice,"Courts, legal judgments, litigation",6.0
Cargo worth crores stuck at airport,Infrastructure,"Roads, railways, airports, smart cities",4.5
Govt tracking Raj residents who were in Nizamuddin,RegionalNews,State-wise and city-wise local news,4.5
IPL 2019 Live streaming: When; where; how to watch and follow RR vs DC live,Sports,"Cricket, football, Olympics, tournaments",4.5
Karan Johar: Curtain raiser!,RegionalNews,State-wise and city-wise local news,4.5
Traders; weavers oppose new GST form for fabrics,RegionalNews,State-wise and city-wise local news,4.5
PCMC still to repair grade separator in Pimpri,RegionalNews,State-wise and city-wise local news,4.5
durgayya durgati road,Infrastructure,"Roads, railways, airports, smart cities",4.5
Archbishop says faith will bring peace,RegionalNews,State-wise and city-wise local news,4.5
Bachchan's wish comes true,RegionalNews,State-wise and city-wise local news,4.5
BJP drops 26 sitting MLAs in 3rd list,Politics,"Elections, political parties, ministers, governance, parliament",7.0
2 cops foil 2 crore robbery bid on NH-1; accused flee,RegionalNews,State-wise and city-wise local news,4.5
Why divorce may lead to early death,RegionalNews,State-wise and city-wise local news,6.5
20-yr-old student from Canada goes missing in Calangute,Education,"Schools, colleges, exams, admissions, policies",4.5
NU to felicitate students and college officials for social work,Education,"Schools, colleges, exams, admissions, policies",4.5
Pooches have a fun day out in namma Bengaluru,RegionalNews,State-wise and city-wise local news,4.5
Nod for road; train travel just after May 3 unlikely,Infrastructure,"Roads, railways, airports, smart cities",4.5
Madhuri's fan irked at Haryana govt's move,RegionalNews,State-wise and city-wise local news,4.5
Six booked for pilfering power,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Jharkhand: 5 killed after village council sentences 'witches' to death,Crime,"Criminal cases, investigations, arrests",6.5
Maharashtra: DGP Nagrale visits Gadchiroli; meets police jawans,Crime,"Criminal cases, investigations, arrests",4.5
Dispute over temple pathway in Aquem,RegionalNews,State-wise and city-wise local news,4.5
Judge summons revenue official in land case,LawJustice,"Courts, legal judgments, litigation",6.0
Finances may have led to Patel murder,Crime,"Criminal cases, investigations, arrests",6.5
Surbhi's back in action!,RegionalNews,State-wise and city-wise local news,4.5
Parallel water pipeline to be laid from Selaulim to Verna,RegionalNews,State-wise and city-wise local news,4.5
PCB told to file report on Swabhumi building nod,RegionalNews,State-wise and city-wise local news,4.5
GCET exam for MBA; MCA to be held in July,Education,"Schools, colleges, exams, admissions, policies",4.5
Rajesh Kalra: The Rape of the Aravalis: A photo blog,Crime,"Criminal cases, investigations, arrests",6.5
Messy road,Infrastructure,"Roads, railways, airports, smart cities",4.5
College kids get filmi gyaan from Sandalwood directors in Bengaluru,Education,"Schools, colleges, exams, admissions, policies",4.5
Cheating case point at massive swindling,RegionalNews,State-wise and city-wise local news,4.5
Yelahanka power station - Farmers; government reach truce on land price,EnergyPower,"Electricity, renewable energy, oil and gas",4.5
Roat; farmer's ideal food,RegionalNews,State-wise and city-wise local news,4.5
Robbers loot Rs 12 lakh from Batra Hospital,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
Shiv Sena wants 'compulsory sterilisation' of Muslims,RegionalNews,State-wise and city-wise local news,4.5
Lead anti-BJP coalition; AIUDF urges AGP,Politics,"Elections, political parties, ministers, governance, parliament",7.0
crpf constable who killed 4 colleagues wanted to meet ailing mother,Crime,"Criminal cases, investigations, arrests",6.5
Granthi 'kills' daughter; badly injures lover in Punjab,Crime,"Criminal cases, investigations, arrests",4.5
Punjab University girls voice security concerns,Education,"Schools, colleges, exams, admissions, policies",4.5
Four youths killed as scooter crashes into stationary truck,Crime,"Criminal cases, investigations, arrests",6.5
Watch: Top news in one minute,RegionalNews,State-wise and city-wise local news,4.5
Nashik police set up surprise nakabandis amid festive season,Crime,"Criminal cases, investigations, arrests",4.5
Mental health experts blame 2nd wave for JSR suicide spike,HealthMedicine,"Healthcare, diseases, treatments, hospitals",6.0
Evam brings its brand stand up comedy to Bangalore,RegionalNews,State-wise and city-wise local news,4.5
Best tech cos to work for,Technology,General technology developments and innovations,4.5
I feel loved and glorious,RegionalNews,State-wise and city-wise local news,4.5
Sexual assault survivor 'kills self'; family alleges harassment by tormentor,Crime,"Criminal cases, investigations, arrests",4.5
Students create ruckus on clg campus,WorldNews,Major international events and developments,7.0
Protesters want elevated road on Ajmer Road opened,Infrastructure,"Roads, railways, airports, smart cities",4.5
Russian tales to win Indian hearts; again,WorldNews,Major international events and developments,7.0
Fee cut protest: No classes in several Karnataka schools tomorrow,RegionalNews,State-wise and city-wise local news,4.5
Chris Brown's new song 'Wildcat' talks about girls; weed,RegionalNews,State-wise and city-wise local news,4.5
Three Scindia School students held for abetting suicide,Education,"Schools, colleges, exams, admissions, policies",4.5
Apple iPhone 14 Pro models 'big feature' may come to all iPhones in 2023,RegionalNews,State-wise and city-wise local news,4.5
